"question_id","question_text","answers","correction","reflections","creation_time","generator_signature","lisa_sheet_id","lisa_sheet_name","rank"
"1000006","Parmi les facteurs qui influencent l'effet du tabagisme maternel sur le fœtus, lequel est primaire ?","le polymorphisme des gènes codant pour le cytochrome P450;; la période de grossesse où s'arrête le tabagisme;; la quantité de toxiques contenus dans la fumée de tabac;; l'âge de la mère;; le poids du fœtus à la naissance","[1.0, 0.5, 0.0, 0.0, 0.0]","Question :
Parmi les facteurs qui influencent l'effet du tabagisme maternel sur le fœtus, lequel est primaire ?","2024-06-07 11:07:19.672957","5-shot_llama3_basic_v1","OIC-027-34-B","Tabac et grossesse : connaître la physiopathologie","B"
"1000007","Quel est le rôle de l'équipe opérationnelle d'hygiène hospitalière (EOHH) dans la prévention des infections associées aux soins ?","Elle est chargée de la surveillance épidémiologique des infections nosocomiales.;; Elle travaille en coordination étroite avec le coordonnateur de la gestion des risques associés aux soins.;; Elle est responsable de la mise en œuvre des programmes de prévention des IAS au niveau national.;; Elle est obligatoire dans les établissements de santé privés.;; Elle est chargée de la gestion des risques associés aux soins.","[0.0, 1.0, 0.0, 0.5, 0.0]","Question :
Quel est le rôle de l'équipe opérationnelle d'hygiène hospitalière (EOHH) dans la prévention des infections associées aux soins ?","2024-06-07 11:07:24.823418","5-shot_llama3_basic_v1","OIC-004-07-B","Connaître les structures en charge des EIAS en France","B"
"1000008","Quel est le risque accru pour le fœtus si la mère fume pendant la grossesse ?","Fausse couche spontanée;; Accouchement prématuré;; Placenta prævia;; Retard de croissance intra-utérin;; Toutes les réponses ci-dessus","[0.5, 0.5, 0.5, 0.5, 1.0]","Quel est le risque accru pour le fœtus si la mère fume pendant la grossesse ?","2024-06-07 11:07:31.168293","5-shot_llama3_basic_v1","OIC-027-35-A","Connaître les conséquences d’une intoxication tabagique pendant la grossesse","A"
"1000010","Quel est l'un des objectifs du séjour de la femme à la maternité ?","Faire des soins du nez;; Contrôler l'allaitement;; Mettre en place un traitement anticoagulant;; Réaliser une amniocentèse;; Faire une échographie fœtale","[-1.0, 1.0, 0.5, -1.0, -1.0]","Question :
Quel est l'un des objectifs du séjour de la femme à la maternité ?","2024-06-07 11:07:40.044032","5-shot_llama3_basic_v1","OIC-031-15-A","Savoir prendre en charge une accouchée dans le post-partum immédiat","A"
"1000011","Quels sont les risques pour le fœtus en cas d'infection materno-fœtale ?","Fausses couches et mort in utero;; Embryopathies et infections fœtales;; Infections post-natales et mort néonatale;; Anémie fœtale et retard de croissance;; Toutes les réponses ci-dessus","[0.5, 0.5, 0.5, 0.0, 1.0]","A: Fausses couches et mort in utero
B: Embryopathies et infections fœtales
C: Infections post-natales et mort néonatale
D: Anémie fœtale et retard de croissance
E: Toutes les réponses ci-dessus","2024-06-07 11:07:44.637705","5-shot_llama3_basic_v1","OIC-027-01-A","Connaître la définition de l’infection materno-fœtale (IMF)","A"
"1000012","Parmi les propositions suivantes, laquelle est la principale cause d'hémorragie du post-partum ?","Rétention placentaire;; Atonie utérine isolée;; Endométrite hémorragique;; Plaie de la filière génitale;; Rétraction utérine","[0.0, 1.0, 0.5, 0.5, -1.0]","Question : Parmi les propositions suivantes, laquelle est la principale cause d'hémorragie du post-partum ?","2024-06-07 11:07:48.820028","5-shot_llama3_basic_v1","OIC-034-04-A","Savoir diagnostiquer une hémorragie génitale pendant les suites de couches en fonction de l'étiologie","A"
"1000013","Avant la chirurgie programmée, qu'est-ce qu'il faut faire pour évaluer l'équilibre du diabète ?","Faire une hémostatase;; Dosager l'HBA1c;; Prendre une douche avec du savon antiseptique;; Dépiler le patient sauf en cas de difficulté technique;; Faire une antibioprophylaxie chirurgicale","[-1.0, 1.0, 0.0, 0.0, 0.0]","Question :
Avant la chirurgie programmée, qu'est-ce qu'il faut faire pour évaluer l'équilibre du diabète ?","2024-06-07 11:07:52.989802","5-shot_llama3_basic_v1","OIC-004-39-B","Connaître les règles de prévention des infections du site opératoire","B"
"1000014","Quel est le but principal de l'entretien individuel ou en couple (EPP) proposé systématiquement à chaque femme enceinte autour du 4<sup>e</sup> mois de grossesse ?","Définir le projet de naissance;; Suivre le suivi médical de la grossesse;; Préparer la future maman à l'accouchement;; Diagnostiquer les complications de la grossesse;; Suivre les examens médicaux de la grossesse","[1.0, 0.0, 0.5, 0.0, 0.0]","Quel est le but principal de l'entretien individuel ou en couple (EPP) proposé systématiquement à chaque femme enceinte autour du 4<sup>e</sup> mois de grossesse ?","2024-06-07 11:08:06.993856","5-shot_llama3_basic_v1","OIC-023-16-B","Le projet de naissance","B"
"1000015","Selon vous, concernant le partage des informations de santé, le consentement du patient est--il nécessaire :","uniquement pour les professionnels de santé appartenant à la même équipe de soins;; uniquement pour les professionnels de santé appartenant à des structures de soins différentes;; dans tous les cas, pour tout partage d'informations de santé;; jamais, car les professionnels de santé peuvent partager les informations sans le consentement du patient;; uniquement pour les étudiants en médecine","[0.0, 1.0, 0.0, -1.0, 0.0]","Selon vous, concernant le partage des informations de santé, le consentement du patient est--il nécessaire :","2024-06-07 11:08:11.067602","5-shot_llama3_basic_v1","OIC-007-06-A","Connaître les règles du partage des données de santé entre professionnels de santé (secret médical, partage des données de santé)","A"
"1000016","Comment le soignant aborde-t-il la personne soignée dans une approche globale et centrée sur le patient ?","en se concentrant sur la maladie de la personne soignée;; en intégrant l'expérience et le vécu de la personne soignée dans la démarche du soignant;; en suivant uniquement les résultats des examens médicaux;; en ignorant les préoccupations et les croyances de la personne soignée;; en imposant ses propres décisions au patient","[0.0, 1.0, 0.0, 0.0, 0.0]","Comment le soignant aborde-t-il la personne soignée dans une approche globale et centrée sur le patient ?","2024-06-07 11:08:16.178708","5-shot_llama3_basic_v1","OIC-001-01-A","Connaître la définition de la relation médecin-malade","A"
"1000017","Selon les données épidémiologiques mondiales, quels sont les pourcentages d'hommes et de femmes victimes d'homicides dans le monde en l'an 2000, selon le rapport de l'OMS ?","43% d'hommes et 57% de femmes;; 77% d'hommes et 23% de femmes;; 60% d'hommes et 40% de femmes;; 30% d'hommes et 70% de femmes;; 50% d'hommes et 50% de femmes","[0.0, 1.0, 0.0, 0.0, 0.0]","Question :
Selon les données épidémiologiques mondiales, quels sont les pourcentages d'hommes et de femmes victimes d'homicides dans le monde en l'an 2000, selon le rapport de l'OMS ?","2024-06-07 11:08:25.165854","5-shot_llama3_basic_v1","OIC-011-02-B","Connaître la prévalence des différents types de violence interpersonnelle","B"
"1000018","Quel est l'objectif principal de l'attitude empathique du médecin envers son patient ?","Étayer la sympathie envers le patient;; Protéger le médecin de l'antipathie du patient;; Renforcer l'alliance avec le patient;; Comprendre la souffrance du patient;; Éviter la compassion envers le patient","[0.0, 0.0, 1.0, 0.5, 0.0]","Question : Quel est l'objectif principal de l'attitude empathique du médecin envers son patient ?","2024-06-07 11:08:29.760585","5-shot_llama3_basic_v1","OIC-001-13-A","Savoir comment se montrer empathique à l’égard du patient","A"
"1000020","Une femme a une histoire d'HTA gravidique. Quel est le risque accru qu'elle encourt par la suite ?","un risque accru de pathologies rénales;; un risque accru de pathologies cardiovasculaires;; un risque accru de diabète sucré;; un risque accru de cancer du sein;; un risque accru d'accident vasculaire cérébral","[0.5, 0.5, 0.0, 0.0, 0.0]","Une femme a une histoire d'HTA gravidique. Quel est le risque accru qu'elle encourt par la suite ?","2024-06-07 11:10:03.877418","5-shot_llama3_basic_v1","OIC-024-17-B","Connaître les complications à long terme de l’HTAg","B"
"1000021","Quel est le caractère essentiel du consentement sexuel ?","Explicite et mutuel;; Libre et éclairé;; Oral et réfléchi;; Écrit et définitif;; Facultatif et permanent","[1.0, 0.5, 0.0, 0.0, -1.0]","Quel est le caractère essentiel du consentement sexuel ?","2024-06-07 11:10:09.198707","5-shot_llama3_basic_v1","OIC-012-01-A","Connaître la définition et les différents types de violences sexuelles et du consentement","A"
"1000022","Question : Parmi les aliments à éviter pendant la grossesse, quels sont ceux qui sont particulièrement à proscrire en raison du risque de contamination bactérienne ?","Fromages à pâte molle au lait cru;; Fruits et légumes crus;; Poissons fumés;; Produits de charcuterie cuite;; Coquillages crus","[1.0, 0.0, 0.5, -1.0, 1.0]","Question : Parmi les aliments à éviter pendant la grossesse, quels sont ceux qui sont particulièrement à proscrire en raison du risque de contamination bactérienne ?","2024-06-07 11:10:13.899547","5-shot_llama3_basic_v1","OIC-027-20-A","Listériose materno-fœtale (MF) : connaître les éléments de prévention","A"
"1000023","Quel est le principal objectif de l'échographie du 2e trimestre ?","Dépister des anomalies de croissance fœtale;; Dépister des malformations fœtales;; Évaluer le risque d'anomalies chromosomiques;; Vérifier la localisation du placenta;; Confirmer la vitalité du fœtus","[0.0, 1.0, 0.0, 0.0, 0.0]","Quel est le principal objectif de l'échographie du 2e trimestre ?","2024-06-07 11:10:19.380951","5-shot_llama3_basic_v1","OIC-023-12-A","Echographies obstétricales","A"
"1000024","Question :
Quel est le rôle du Conseil national de l'Ordre des médecins dans la déontologie médicale ?","Élaborer le Code pénal;; Élaborer le Code de déontologie médicale;; Définir les fautes disciplinaires;; Saisir la chambre disciplinaire du conseil régional de l'Ordre;; statuer sur les sanctions disciplinaires","[0.0, 1.0, 0.0, 0.0, 0.0]","Question :
Quel est le rôle du Conseil national de l'Ordre des médecins dans la déontologie médicale ?","2024-06-07 11:10:27.897571","5-shot_llama3_basic_v1","OIC-005-05-A","Connaître la définition de la responsabilité disciplinaire","A"
"1000025","Parmi les situations de vulnérabilité liées à la situation sociale et économique, laquelle est une situation de vulnérabilité pour les femmes victimes de violences conjugales ?","Grossesse;; Précarité sociale, économique ou familiale;; Âge avancé;; Trouble de l'usage de substances psychoactives;; Situation régulière sur le territoire français","[0.0, 1.0, 0.0, 0.0, -1.0]","Parmi les situations de vulnérabilité liées à la situation sociale et économique, laquelle est une situation de vulnérabilité pour les femmes victimes de violences conjugales ?","2024-06-07 11:10:30.715950","5-shot_llama3_basic_v1","OIC-013-08-A","Savoir identifier les situations de vulnérabilités, particulièrement concernant les violences conjugales","A"
"1000027","Question :
Quel est le principal mode de contamination de l'herpès néonatal sévère ?","Contamination pendant la grossesse maternelle;; Contamination postnatale à partir d'un herpès maternel ou dans l'entourage;; Passage par la filière génitale infectée lors de l'accouchement;; Contamination verticale du VIH","[0.0, 0.0, 1.0, 0.0]","Question :
Quel est le principal mode de contamination de l'herpès néonatal sévère ?","2024-06-07 11:10:43.455051","5-shot_llama3_basic_v1","OIC-027-13-B","Connaître les mécanismes de transmission materno-fœtale des virus les plus fréquemment impliqués","B"
"1000029","Question :
Quel est le facteur de risque de retard de croissance intra-utérin et de prématurité lié à l'activité physique au travail ?","Port de charges lourdes;; Exposition aux basses fréquences sonores;; Rayonnements ionisants;; Travail de nuit et travail posté;; Infections virales comme la varicelle et la grippe","[1.0, 0.0, 0.0, 0.0, 0.0]","Question :
Quel est le facteur de risque de retard de croissance intra-utérin et de prématurité lié à l'activité physique au travail ?","2024-06-07 11:10:51.712092","5-shot_llama3_basic_v1","OIC-029-02-A","Connaître les principaux risques professionnels, physiques, chimiques ou biologiques pour la grossesse","A"
"1000030","Question :
Quels sont les deux concepts distincts du corps humain distingués par les sciences humaines ?","Corps-objet et corps-sujet;; Corps-observé et corps-observeur;; Corps-mécanique et corps-biologique;; Corps-intérieur et corps-extérieur;; Corps-sain et corps-malade","[1.0, 0.0, -1.0, -1.0, -1.0]","Question :
Quels sont les deux concepts distincts du corps humain distingués par les sciences humaines ?","2024-06-07 11:10:54.428567","5-shot_llama3_basic_v1","OIC-010-03-B","Connaître la place du corps dans les pratiques cliniques (données personnelles, regard médical, palpation, imagerie, analyses biologiques, etc.)","B"
"1000031","Question :
Dans l'échographie pelvienne, quels sont les deux types de signes recherchés pour diagnostiquer une grossesse extra-utérine ?","Signes radiologiques et signes échographiques;; Signes directs et signes indirects;; Signes symptomatiques et signes radiologiques;; Signes de gravité clinique et signes échographiques;; Signes de grossesse intra-utérine et signes de grossesse extra-utérine","[0.0, 1.0, 0.0, 0.0, 0.0]","Question :
Dans l'échographie pelvienne, quels sont les deux types de signes recherchés pour diagnostiquer une grossesse extra-utérine ?","2024-06-07 11:10:57.978632","5-shot_llama3_basic_v1","OIC-025-06-A","Connaître les examens complémentaires à demander devant une suspicion de GEU","A"
"1000033","Quelle est la conduite à tenir en cas de contage avéré de rougeole chez une femme enceinte non vaccinée ?","Vérifier le statut vaccinal de la patiente et pratiquer une sérologie en urgence;; Administer des antibiotiques de manière systématique;; Rechercher un contage et mettre en place des mesures de prévention de la transmission;; Vérifier la présence d'IgM spécifiques dans la salive/le sérum;; Hospitaliser systématiquement la femme enceinte","[1.0, -1.0, 0.5, 0.5, -1.0]","Quelle est la conduite à tenir en cas de contage avéré de rougeole chez une femme enceinte non vaccinée ?","2024-06-07 11:11:05.082799","5-shot_llama3_basic_v1","OIC-027-11-A","Rougeole : Connaître les éléments de prévention fœtale","A"
"1000034","Parmi les causes d’infections materno-fœtales, quelle est la 1ère cause d’infection néonatale bactérienne précoce ?","Escherichia coli;; Streptocoque groupe B;; Listériose;; Treponema pallidum","[0.0, 1.0, 0.0, 0.0]","Parmi les causes d’infections materno-fœtales, quelle est la 1ère cause d’infection néonatale bactérienne précoce ?","2024-06-07 11:11:24.085693","5-shot_llama3_basic_v1","OIC-027-02-B","Connaître l’épidémiologie « microbienne » des IMF","B"
"1000035","Question :
Quels sont les critères cliniques qui permettent de diagnostiquer la mort encéphalique ?","Absence de ventilation spontanée et abolition de tous les réflexes du tronc cérébral;; Absence de conscience et d'activité motrice spontanée avec absence de réaction à la stimulation;; Présence de deux EEG sans activité décelable à 4 heures d'intervalle avec une durée d'enregistrement chacun d'au moins 30 minutes;; Toutes les réponses ci-dessus;; Aucune des réponses ci-dessus","[0.5, 0.5, 0.5, 1.0, -1.0]","Question :
Quels sont les critères cliniques qui permettent de diagnostiquer la mort encéphalique ?","2024-06-07 11:12:08.897232","5-shot_llama3_basic_v1","OIC-009-24-B","Don et prélèvement d’organes sur personnes décédées","B"
"1000036","Question :
La qualité de la relation médecin-patient a démontré son importance sur quels aspects de la santé ?","survie des patients atteints de cancer;; performance dans la démarche diagnostique et amélioration de paramètres biocliniques de suivi des maladies chroniques;; réduction du stress chez les patients hospitalisés;; augmentation de la fréquence des consultations;; réduction des coûts des soins de santé","[0.0, 1.0, 0.0, 0.0, 0.0]","Question :
La qualité de la relation médecin-patient a démontré son importance sur quels aspects de la santé ?","2024-06-07 11:12:25.184643","5-shot_llama3_basic_v1","OIC-001-03-A","Connaître les principaux corrélats cliniques de la relation médecin-malade","A"
"1000037","Quel est le traitement de premier choix pour les douleurschez la femme enceinte ?","Paracétamol;; Codéine;; Anti-inflammatoires non stéroïdiens (AINS);; Corticoïdes;; Morphine","[1.0, 0.0, -1.0, 0.0, 0.0]","Quel est le traitement de premier choix pour les douleurschez la femme enceinte ?","2024-06-07 11:18:26.066672","5-shot_llama3_basic_v1","OIC-023-14-A","Connaître les mesures médicamenteuses et non médicamenteuses concernant les petits maux de la grossesse","A"
"1000039","Question:
Quel est le but principal du Plan National Maladies Rares 3 (PNMR3) ?","Favoriser la recherche sur les maladies rares;; Établir un diagnostic précis pour les maladies rares dans les 5 premières années de vie;; Offrir des soins et des thérapies adaptées pour les patients atteints de maladies rares;; Créer des réseaux de centres de référence pour les maladies rares;; Encourager la création d'associations de malades pour les maladies rares","[0.0, 0.0, 1.0, 0.5, 0.5]","Question:
Quel est le but principal du Plan National Maladies Rares 3 (PNMR3) ?","2024-06-07 11:18:42.983633","5-shot_llama3_basic_v1","OIC-022-02-B","Connaître l’organisation des soins des maladies rares en France","B"
"1000040","Question : Quel est le mécanisme physiopathologique principal responsable des symptômes du syndrome prémenstruel ?","Hyperperméabilité capillaire due à une hyper-oestrogénie relative;; Perturbations de la transmission sérotoninergique;; Œdème tissulaire interstitiel;; Hyper-oestrogénie absolue;; Céphalées et manifestations neuropsychologiques","[1.0, 0.5, 0.5, 0.0, 0.0]","Question : Quel est le mécanisme physiopathologique principal responsable des symptômes du syndrome prémenstruel ?","2024-06-07 11:18:49.564200","5-shot_llama3_basic_v1","OIC-035-02-B","Connaître la physiopathologie du syndrome prémenstruel","B"
"1000041","Question :
Quelle est la principale différence entre l'éthique et la morale ?","L'éthique concerne les principes généraux, tandis que la morale concerne les règles spécifiques.;; L'éthique est une compétence réflexive qui permet de questionner la moralité, tandis que la morale apporte des réponses définitives.;; L'éthique est une démarche de réflexion, tandis que la morale est une liste de règles à respecter.;; L'éthique est une science, tandis que la morale est un ensemble de croyances.;; L'éthique concerne les soins de santé, tandis que la morale concerne la société en général.","[1.0, 0.0, 0.5, -1.0, -1.0]","Question :
Quelle est la principale différence entre l'éthique et la morale ?","2024-06-07 11:19:15.253677","5-shot_llama3_basic_v1","OIC-009-01-A","Connaître la définition de l’éthique","A"
"1000042","Question :
Une femme enceinte suspecte d'avoir une listériose doit recevoir quel traitement antibiotique ?","Amoxicilline 3 g/j par voie orale;; Érythromycine 3 g/j par voie orale;; Amoxicilline 6 g/j par voie IV;; Vancomycine 3 g/j par voie IV;; C3G et aminosides par voie IV","[0.5, 0.5, 1.0, -1.0, -1.0]","Question :
Une femme enceinte suspecte d'avoir une listériose doit recevoir quel traitement antibiotique ?","2024-06-07 11:19:22.568750","5-shot_llama3_basic_v1","OIC-024-25-A","Connaître la prise en charge d’une fièvre au cours de la grossesse","A"
"1000043","Quel est le rôle du médecin dans l'alliance thérapeutique ?","Prescrire des traitements sans expliquer les choix thérapeutiques;; Être un acteur principal qui impose ses décisions médicales;; Faciliter la réflexion du patient sur de nouvelles informations pour amener le changement;; Ne pas établir de relation avec le patient;; Imposer ses propres croyances et valeurs au patient","[-1.0, -1.0, 1.0, -1.0, -1.0]","Quel est le rôle du médecin dans l'alliance thérapeutique ?","2024-06-07 11:19:29.044463","5-shot_llama3_basic_v1","OIC-001-10-A","Connaître la notion d’alliance thérapeutique","A"
"1000044","Question :
Quel est le risque principal lié à l'allo-immunisation antiérythrocytaire pour le fœtus et/ou le nouveau-né ?","Une anémie fœtale;; Une hépatite fœtale;; Une infection fœtale;; Une malformation fœtale;; Une mort fœtale","[1.0, -1.0, -1.0, -1.0, 0.5]","Question :
Quel est le risque principal lié à l'allo-immunisation antiérythrocytaire pour le fœtus et/ou le nouveau-né ?","2024-06-07 11:19:54.847893","5-shot_llama3_basic_v1","OIC-027-26-B","Connaître la physiopathologie de l’allo-immunisation antiérythrocytaire","B"
"1000045","Question :
Quel est le délai recommandé pour commencer une contraception efficace après un accouchement ?","Au moment de la visite postnatale;; Au plus tard 21 jours après l'accouchement;; Immédiatement après l'accouchement;; Seulement après la fin de l'allaitement;; Il n'y a pas de délai recommandé","[0.0, 1.0, 0.0, 0.0, 0.0]","Question :
Quel est le délai recommandé pour commencer une contraception efficace après un accouchement ?","2024-06-07 11:20:10.829736","5-shot_llama3_basic_v1","OIC-031-16-B","Savoir prescrire une contraception du post partum","B"
"1000046","Question : Quel est le traitement du déficit en 21-hydroxylase, responsable de l'hyperplasie congénitale des surrénales ?","Substitution en hydrocortisone et fludrocortisone;; Substitution en aldostérone seule;; Substitution en cortisol seule;; Supplémentation en phénylalanine;; Traitement chirurgical des surrénales","[1.0, 0.0, 0.0, 0.0, 0.0]","Question : Quel est le traitement du déficit en 21-hydroxylase, responsable de l'hyperplasie congénitale des surrénales ?","2024-06-07 11:20:26.384437","5-shot_llama3_basic_v1","OIC-032-04-B","Connaître les dépistages systématiques néonatals","B"
"1000047","Quel est le critère principal pour le diagnostic de pneumopathie nosocomiale, en plus de l'image radiologique évocatrice de pneumonie ?","Hyperthermie > 38°C sans autre cause;; Leucopénie (<4000 GB/mm³) ou hyperleucocytose (> 12 000 GB/mm³);; Au moins un des signes suivants : apparition de sécrétions purulentes, toux ou dyspnée ou tachypnée, auscultation évocatrice, aggravation des gaz du sang;; Documentation microbiologique par prélèvement distal protégé (PDP), brosse, lavage broncho-alvéolaire (LBA);; Tous les éléments précédents doivent être remplis","[0.5, 0.5, 1.0, 0.0, 0.0]","Quel est le critère principal pour le diagnostic de pneumopathie nosocomiale, en plus de l'image radiologique évocatrice de pneumonie ?","2024-06-10 04:53:25.783578","5-shot_llama3_basic_v1","OIC-004-33-B","Connaître les critères diagnostiques d’une pneumopathie nosococomiales","B"
"1000048","Question :
Quelle est la durée normale d'un cycle menstruel selon l'OMS ?","20 à 30 jours;; 25 à 35 jours;; 28 jours exactement;; 30 à 40 jours;; Variable d'une femme à l'autre","[0.0, 1.0, 0.0, 0.0, 0.0]","Question :
Quelle est la durée normale d'un cycle menstruel selon l'OMS ?","2024-06-10 05:00:35.864030","5-shot_llama3_basic_v1","OIC-035-04-A","Connaître la définition du cycle menstruel normal","A"
"1000049","La déclaration de grossesse doit être effectuée auprès de quelles instances ?","Caisse d'Assurance maladie et Caisse d'Allocations familiales;; Caisse d'Assurance maladie uniquement;; Caisse d'Allocations familiales uniquement;; Médecin généraliste;; Hôpital local","[1.0, 0.0, 0.0, 0.0, 0.0]","La déclaration de grossesse doit être effectuée auprès de quelles instances ?","2024-06-10 05:00:52.796169","5-shot_llama3_basic_v1","OIC-023-06-A","Déclaration de la grossesse","A"
"1000050","Quels sont les éléments clés d'une communication adaptée avec le patient et son entourage ?","Questions ouvertes et respect des silences;; Questions fermées et reformulations;; Seuls les mots comptent dans la communication;; Le non-verbal ne représente que 30% de la communication;; La communication est une compétence innée","[1.0, 0.5, -1.0, -1.0, -1.0]","Quels sont les éléments clés d'une communication adaptée avec le patient et son entourage ?","2024-06-10 05:00:56.441026","5-shot_llama3_basic_v1","OIC-001-14-A","Connaître les principes d’une communication adaptée, verbale et non verbale, avec le patient et son entourage","A"
