"learning_objective","description","predictedItem","itemTitle"
"learning_objective_196","Douleur et épanchement articulaire. Arthrite d'évolution récente","200","Douleur et épanchement articulaire. Arthrite d’évolution récente"
"learning_objective_197","Transplantation d'organes : Aspects épidémiologiques et immunologiques , principes de traitement et surveillance , complications et pronostic , aspects éthiques et légaux","201","Transplantation d’organes : aspects épidémiologiques et immunologiques ; principes de traitement et surveillance ; complications et pronostic ; aspects éthiques et légaux. Prélèvements d’organes et législation"
"learning_objective_198","Biothérapies et thérapies ciblées","202","Biothérapies et thérapies ciblées"
"learning_objective_199","Dyspnée aiguë et chronique","203","Dyspnée aiguë et chronique"
"learning_objective_20","Interprétation d'une enquête épidémiologique","4","Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles"
"learning_objective_200","Toux chez l'enfant et chez l'adulte (avec le traitement)","204","Toux chez l’enfant et chez l’adulte (avec le traitement)"
"learning_objective_201","Hémoptysie","205","Hémoptysie"
"learning_objective_202","Epanchement pleural","0","Item Not Found"
"learning_objective_203","Opacités et masses intra-thoraciques chez l'enfant et chez l'adulte","207","Opacités et masses intra-thoraciques chez l’enfant et chez l’adulte"
"learning_objective_204","Insuffisance respiratoire chronique","208","Insuffisance respiratoire chronique"
"learning_objective_205","Bronchopneumopathie chronique obstructive chez l'adulte et l'enfant","209","Bronchopneumopathie chronique obstructive chez l’adulte"
"learning_objective_206","Pneumopathie interstitielle diffuse","210","Pneumopathie interstitielle diffuse"
"learning_objective_207","Sarcoïdose","211","Sarcoïdose"
"learning_objective_208","Hémogramme chez l'adulte et l'enfant : indications et interprétation","212","Hémogramme chez l’adulte et l’enfant : indications et interprétation"
"learning_objective_209","Anémie chez l'adulte et l'enfant","213","Anémie chez l’adulte et l’enfant"
"learning_objective_21","Examen prénuptial","23","Grossesse normale"
"learning_objective_210","Thrombopénie chez l'adulte et l'enfant","214","Thrombopénie chez l’adulte et l’enfant"
"learning_objective_211","Purpuras chez l'adulte et l'enfant","215","Purpuras chez l’adulte et l’enfant"
"learning_objective_212","Syndrome hémorragique d'origine hématologique","216","Syndrome hémorragique d’origine hématologique"
"learning_objective_213","Syndrome mononucléosique","217","Syndrome mononucléosique"
"learning_objective_214","Eosinophilie","218","Éosinophilie"
"learning_objective_215","Pathologie du fer chez l'adulte et l'enfant","219","Pathologie du fer chez l’adulte et l’enfant"
"learning_objective_216","Adénopathie superficielle de l'adulte et de l'enfant","220","Adénopathie superficielle de l’adulte et de l’enfant"
"learning_objective_217","Amylose","251","Amaigrissement à tous les âges"
"learning_objective_218","Athérome : épidémiologie et physiopathologie. Le malade poly-athéromateux","221","Athérome : épidémiologie et physiopathologie. Le malade poly-athéromateux"
"learning_objective_219","Facteurs de risque cardio-vasculaire et prévention","222","Facteurs de risque cardio-vasculaire et prévention"
"learning_objective_22","Grossesse normale","23","Grossesse normale"
"learning_objective_220","Dyslipidémies","223","Dyslipidémies"
"learning_objective_221","Hypertension artérielle de l'adulte","224","Hypertension artérielle de l’adulte et de l’enfant"
"learning_objective_222","Hypertension artérielle pulmonaire de l'enfant et de l'adulte","224","Hypertension artérielle de l’adulte et de l’enfant"
"learning_objective_223","Artériopathie oblitérante de l'aorte, des artères viscérales et des membres inférieurs , anévrysmes","225","Artériopathie de l’aorte, des artères viscérales et des membres inférieurs ; anévrysmes"
"learning_objective_224","Thrombose veineuse profonde et embolie pulmonaire (voir item 326)","0","Item Not Found"
"learning_objective_225","Insuffisance veineuse chronique. Varices","229","Surveillance et complications des abords veineux"
"learning_objective_226","Ulcère de jambe","228","Ulcère de jambe"
"learning_objective_227","Surveillance et complications des abords veineux","229","Surveillance et complications des abords veineux"
"learning_objective_228","Douleur thoracique aiguë et chronique","230","Douleur thoracique aiguë"
"learning_objective_229","Électrocardiogramme : indications et interprétations","0","Item Not Found"
"learning_objective_23","Principales complications de la grossesse","24","Principales complications de la grossesse."
"learning_objective_230","Fibrillation atriale","232","Fibrillation atriale"
"learning_objective_231","Valvulopathies","233","Valvulopathies"
"learning_objective_232","Insuffisance cardiaque de l'adulte","234","Insuffisance cardiaque de l’adulte"
"learning_objective_233","Péricardite aiguë","235","Péricardite aiguë"
"learning_objective_234","Troubles de la conduction intracardiaque","236","Troubles de la conduction intracardiaque"
"learning_objective_235","Palpitations","0","Item Not Found"
"learning_objective_236","Souffle cardiaque chez l'enfant","238","Souffle cardiaque chez l’enfant"
"learning_objective_237","Acrosyndromes (phénomène de Raynaud, érythermalgie, acrocyanose, engelures, ischémie digitale)","239","Acrosyndromes (phénomène de Raynaud, érythermalgie, acrocyanose, engelures, ischémie digitale)"
"learning_objective_238","Hypoglycémie chez l'adulte et l'enfant","240","Hypoglycémie chez l’adulte et l’enfant"
"learning_objective_239","Goitre, nodules thyroïdiens et cancers thyroïdiens","241","Goitre, nodules thyroïdiens et cancers thyroïdiens"
"learning_objective_24","Grossesse extra-utérine","25","Grossesse extra-utérine"
"learning_objective_241","Hypothyroïdie","243","Hypothyroïdie"
"learning_objective_242","Adénome hypophysaire","244","Adénome hypophysaire"
"learning_objective_243","Insuffisance surrénale chez l'adulte et l'enfant","245","Insuffisance surrénale chez l’adulte et l’enfant"
"learning_objective_244","Gynécomastie","246","Gynécomastie"
"learning_objective_245","Diabète sucré de types 1 et 2 de l'enfant et de l'adulte. Complications","247","Diabète sucré de type 1 et 2 de l’enfant et de l’adulte. Complications"
"learning_objective_246","Prévention primaire par la nutrition chez l'adulte et l'enfant","248","Prévention primaire par la nutrition chez l’adulte et l’enfant"
"learning_objective_247","Modifications thérapeutiques du mode de vie (alimentation et activité physique) chez l'adulte et l'enfant","249","Modifications thérapeutiques du mode de vie (alimentation et activité physique) chez l’adulte et l’enfant"
"learning_objective_248","Dénutrition chez l'adulte et l'enfant","250","Dénutrition chez l’adulte et l’enfant"
"learning_objective_249","Amaigrissement à tous les âges","251","Amaigrissement à tous les âges"
"learning_objective_25","Douleur abdominale aiguë chez une femme enceinte","26","Douleur abdominale aiguë chez une femme enceinte"
"learning_objective_250","Troubles nutritionnels chez le sujet âgé","248","Prévention primaire par la nutrition chez l’adulte et l’enfant"
"learning_objective_251","Obésité de l'enfant et de l'adulte (voir item 69)","253","Obésité de l’enfant et de l’adulte"
"learning_objective_252","Nutrition et grossesse","254","Besoins nutritionnels de la femme enceinte"
"learning_objective_253","Aptitude au sport chez l'adulte et l'enfant , besoins nutritionnels chez le sportif (voir item 78)","256","Aptitude au sport chez l’adulte et l’enfant ; besoins nutritionnels chez le sportif"
"learning_objective_254","Oedèmes des membres inférieurs localisés ou généralisés","257","Œdèmes des membres inférieurs localisés ou généralisés"
"learning_objective_255","Élévation de la créatininémie","258","Élévation de la créatininémie"
"learning_objective_256","Protéinurie et syndrome néphrotique de chez l'l'adulte et de l'enfant","259","Protéinurie et syndrome néphrotique chez l’adulte et de l’enfant"
"learning_objective_257","Hématurie","260","Hématurie"
"learning_objective_258","Néphropathie glomérulaire","261","Néphropathie glomérulaire"
"learning_objective_259","Néphropathie interstitielle","262","Néphropathies interstitielles"
"learning_objective_26","Prévention des risques foetaux : infection, médicaments, toxiques, irradiation","27","Prévention des risques fœtaux : infection, médicaments, toxiques, irradiation"
"learning_objective_260","Néphropathie vasculaire","263","Néphropathies vasculaires"
"learning_objective_261","Insuffisance rénale chronique chez l'adulte et l'enfant","264","Insuffisance rénale chronique chez l’adulte et l’enfant"
"learning_objective_262","Lithiase urinaire","265","Lithiase urinaire"
"learning_objective_263","Polykystose rénale","266","Polykystose rénale"
"learning_objective_264","Prescription et surveillance des diurétiques (voir item 326)","326","Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage"
"learning_objective_265","Troubles de l'équilibre acido-basique et désordres hydro-électrolytiques","267","Troubles de l’équilibre acido-basique et désordres hydro-électrolytiques"
"learning_objective_266","Hypercalcémie","268","Hypercalcémie"
"learning_objective_267","Douleurs abdominales et lombaires aiguës chez l'enfant et chez l'adulte","0","Item Not Found"
"learning_objective_268","Reflux gastro-'sophagien chez le nourrisson, chez l'enfant et chez l'adulte. Hernie hiatale","271","Reflux gastro-œsophagien chez le nourrisson, chez l’enfant et chez l’adulte. Hernie hiatale"
"learning_objective_269","Ulcère gastrique et duodénal. Gastrite","0","Item Not Found"
"learning_objective_27","Connaître les particularités de l'infection urinaire au cours de la grossesse","28","Connaître les particularités de l’infection urinaire au cours de la grossesse"
"learning_objective_270","Dysphagie","0","Item Not Found"
"learning_objective_271","Vomissements du nourrisson, de l'enfant et de l'adulte","274","Vomissements du nourrisson, de l’enfant et de l’adulte"
"learning_objective_272","Splénomégalie","275","Splénomégalie"
"learning_objective_273","Hépatomégalie et masse abdominale","276","Hépatomégalie et masse abdominale"
"learning_objective_274","Lithiase biliaire et complications","277","Lithiase biliaire et complications"
"learning_objective_275","Ictère","278","Ictère de l’adulte et de l’enfant"
"learning_objective_276","Cirrhose et complications","279","Cirrhose et complications"
"learning_objective_277","Ascite","280","Ascite"
"learning_objective_278","Pancréatite chronique","281","Pancréatite chronique"
"learning_objective_279","Maladies Inflammatoires Chroniques de l'Intestin (MICI) chez l'adulte et l'enfant","282","Maladies inflammatoires chroniques de l’intestin (MICI) chez l’adulte"
"learning_objective_28","Connaître les principaux risques professionnels pour la maternité, liés au travail de la mère.","183","Organisation de la médecine du travail. Prévention des risques professionnels"
"learning_objective_280","Constipation chez l'enfant et l'adulte (avec le traitement)","283","Constipation chez l’enfant et l’adulte"
"learning_objective_281","Colopathie fonctionnelle","284","Colopathie fonctionnelle"
"learning_objective_282","Diarrhée chronique chez l'adulte et l'enfant","285","Diarrhée chronique chez l’adulte et l’enfant"
"learning_objective_283","Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte","286","Diarrhée aiguë et déshydratation chez le nourrisson, l’enfant et l’adulte"
"learning_objective_284","Diverticulose colique et diverticulite aiguë du sigmoïde","287","Diverticulose colique et diverticulite aiguë du sigmoïde"
"learning_objective_285","Pathologie hémorroïdaire","288","Pathologie hémorroïdaire"
"learning_objective_286","Hernie pariétale chez l'enfant et l'adulte","289","Hernie pariétale chez l’enfant et l’adulte"
"learning_objective_287","Epidémiologie, facteurs de risque, prévention et dépistage des cancers","290","Épidémiologie, facteurs de risque, prévention et dépistage des cancers"
"learning_objective_288","Cancer : cancérogénèse, oncogénétique","291","Cancer : cancérogénèse, oncogénétique"
"learning_objective_289","Diagnostic des cancers : signes d'appel et investigations para-cliniques , caractérisation du stade , pronostic","292","Diagnostic des cancers : signes d’appel et investigations para-cliniques ; caractérisation du stade ; pronostic"
"learning_objective_29","Prématurité et retard de croissance intra-utérin : facteurs de risque et prévention","30","Prématurité et retard de croissance intra-utérin : facteurs de risque et prévention"
"learning_objective_290","Le médecin préleveur de cellules et/ou de tissus pour des examens d'Anatomie et Cytologie Pathologiques :","293","Le médecin préleveur de cellules et/ou de tissus pour des examens d’Anatomie et Cytologie Pathologiques : connaître les principes de réalisation, transmission et utilisation des prélèvements à visée sanitaire et de recherche"
"learning_objective_291","Traitement des cancers : chirurgie, radiothérapie, traitements médicaux des cancers (chimiothérapie, thérapies ciblées, immunothérapie).","294","Traitement des cancers : principales modalités, classes thérapeutiques et leurs complications majeures. La décision thérapeutique pluridisciplinaire et l’information du malade"
"learning_objective_292","Prise en charge et accompagnement d'un malade cancéreux à tous les stades de la maladie dont le stade de soins palliatifs en abordant les problématiques techniques, relationnelles, sociales et éthiques.","295","Prise en charge et accompagnement d’un malade atteint de cancer à tous les stades de la maladie dont le stade de soins palliatifs en abordant les problématiques techniques, relationnelles, sociales et éthiques"
"learning_objective_293","Agranulocytose médicamenteuse : conduite à tenir","296","Agranulocytose médicamenteuse : conduite à tenir"
